Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2021-03-18,1771092,1019472,76532,39884,20264,799478,3283
2021-03-19,1906749,1083647,80041,46605,20357,863187,3331
2021-03-20,1307403,768908,41743,33068,12558,787777,0
2021-03-21,1013386,579358,34693,26380,10358,735673,0
2021-03-22,1801438,1095241,84171,43281,20427,788542,3646
2021-03-23,1879574,1133504,83106,41654,21590,810243,3727
2021-03-24,1828084,1075968,79590,40301,21651,794315,3578
2021-03-25,1925768,1127964,83556,44105,21763,847633,3747
2021-03-26,1938246,1091753,84436,49529,20805,865970,3536
2021-03-27,1374266,781981,47484,38301,12900,841595,0
2021-03-28,807247,459949,28347,21000,9104,601860,0
2021-03-29,1742162,1002597,86467,44240,18543,763647,3378
2021-03-30,1881537,1079381,91258,46574,21019,842154,3806
2021-03-31,1808546,995873,84850,43954,20374,833052,3526
2021-04-01,1841815,1030209,77285,38466,20490,856466,3434
2021-04-02,1757698,958085,79770,49308,18839,845252,3070
2021-04-03,1318461,750682,47662,37706,12735,779701,1503
2021-04-04,950194,519812,40868,30673,11632,749910,1066
2021-04-05,1818703,1088750,87048,46156,19970,832239,3431
2021-04-06,1942198,1155101,85757,45178,21695,840351,3873
2021-04-07,1985370,1172362,85479,45747,23469,858593,3809
2021-04-08,2013413,1177833,86715,47059,22579,877834,3893
2021-04-09,2026724,1144311,87051,52445,21978,895229,3686
2021-04-10,1391245,790023,45962,36629,12713,822112,1500
2021-04-11,899646,504407,32034,22933,9742,666435,1020
2021-04-12,1845836,1087799,83124,43563,21192,793402,3418
2021-04-13,2012153,1196355,87182,46150,22728,832482,3877
2021-04-14,2018126,1199954,86698,47970,23462,852606,3810
2021-04-15,1906733,1083083,81762,44175,21198,822207,3593
2021-04-16,2078856,1157507,87190,54355,21632,889711,3591
2021-04-17,1425036,803352,49901,39789,13313,813162,0
2021-04-18,1082503,607333,38263,30983,10865,753446,0
2021-04-19,1911326,1147977,87167,45925,21274,816540,3634
2021-04-20,2082495,1223642,90034,49100,23528,860511,4135
2021-04-21,1965922,1139762,83533,45253,22379,828447,3788
2021-04-22,2040232,1166357,86606,46790,21832,871573,3837
2021-04-23,2121350,1184193,92834,56155,22035,920588,3737
2021-04-24,1520057,809163,51570,43227,13351,854964,0
